i,j,k,Real,Estimate - LASSO,Estimate - MLE,Estimate - Ada. LASSO
2,8,11,0.0,0.0,0.0,0.0
2,8,12,0.0,0.0,-0.0,0.0
2,9,10,0.0,0.0,-0.0,0.0
2,9,11,0.0,0.0,0.0,0.0
2,9,12,0.0,0.0,-0.0,0.0
2,10,11,0.0,0.04034215112705006,0.0,0.0
2,10,12,0.0,0.0,0.0,0.0
2,11,12,0.0,0.0,-0.0,0.0
3,1,2,0.0,0.0,-0.0,0.0
3,1,4,0.0,0.0,0.0,0.0
3,1,5,0.0,0.0,0.0,0.0
3,1,6,0.0,0.0,-0.0,0.0
3,1,7,0.0,0.0,-0.0,0.0
3,1,8,0.0,0.0,-0.0,0.0
3,1,9,0.0,0.0,0.0,0.0
3,1,10,0.0,0.0,0.0,0.0
3,1,11,0.0,0.0,-0.0,0.0
3,1,12,0.0,0.0,0.0,0.0
3,2,4,0.0,0.0,0.0,0.0
3,2,5,0.0,0.0,0.0,0.0
3,2,6,0.0,0.0,-0.0,0.0
3,2,7,0.0,0.0,-0.0,0.0
3,2,8,0.0,0.0,-0.0,0.0
3,2,9,0.0,0.0,-0.0,0.0
3,2,10,0.0,0.0,-0.0,0.0
3,2,11,0.0,0.0,0.0,0.0
3,2,12,0.0,0.0,0.0,0.0
3,4,5,0.0,0.0,-0.0,0.0
3,4,6,0.0,0.0,0.0,0.0
3,4,7,0.0,0.0,0.0,0.0
3,4,8,0.0,0.0,0.0,0.0
3,4,9,0.0,0.0,0.0,0.0
3,4,10,0.0,0.0,-0.0,0.0
3,4,11,0.0,0.0,-0.0,0.0
3,4,12,0.0,0.0,-0.0,0.0
3,5,6,0.0,0.0,-0.0,0.0
3,5,7,0.0,0.0,-0.0,0.0
3,5,8,0.0,0.0,0.0,0.0
3,5,9,0.0,0.0,0.0,0.0
3,5,10,0.0,0.0,0.0,0.0
3,5,11,0.0,0.0,-0.0,0.0
3,5,12,0.0,0.0,-0.0,0.0
3,6,7,0.0,0.0,-0.0,0.0
3,6,8,0.0,0.0,0.0,0.0
3,6,9,0.0,0.0,-0.0,0.0
3,6,10,0.0,0.0,0.0,0.0
3,6,11,0.0,0.0,-0.0,0.0
3,6,12,0.0,0.0,0.0,0.0
3,7,8,0.0,0.0,-0.0,0.0
3,7,9,0.0,0.0,0.0,0.0
3,7,10,0.0,0.0,0.06242163163074613,0.0
3,7,11,0.0,0.0,-0.0,0.0
3,7,12,0.0,0.0,-0.0,0.0
3,8,9,0.0,0.0,-0.0,0.0
3,8,10,0.0,0.0,0.0,0.0
3,8,11,0.0,0.0,0.0,0.0
3,8,12,0.0,0.0,0.0,0.0
3,9,10,0.0,0.0,0.0,0.0
3,9,11,0.0,0.0,-0.0,0.0
3,9,12,0.0,0.0,0.0,0.0
3,10,11,0.0,0.0,-0.038931544315799635,0.0
3,10,12,0.0,0.0,0.0,0.0
3,11,12,0.0,0.0,0.0,0.0
4,1,2,0.0,0.0,0.0,0.0
4,1,3,0.0,0.0,-0.0,0.0
4,1,5,0.0,0.0,0.0,0.0
4,1,6,0.0,0.0,-0.0,0.0
4,1,7,0.0,0.0,-0.0,0.0
4,1,8,0.0,0.0,0.0,0.0
4,1,9,0.0,0.0,-0.0,0.0
4,1,10,0.0,0.0,0.0,0.0
4,1,11,0.0,0.0,0.0,0.0
4,1,12,0.0,0.0,-0.0,0.0
4,2,3,0.0,0.0,-0.0,0.0
4,2,5,0.0,0.0,0.0,0.0
4,2,6,0.0,0.0,-0.0,0.0
4,2,7,0.0,0.0,-0.0,0.0
4,2,8,0.0,0.0,0.0,0.0
4,2,9,0.0,0.0,0.0,0.0
4,2,10,0.0,0.0,0.0,0.0
4,2,11,0.0,0.0,-0.0,0.0
4,2,12,0.0,0.0,-0.0,0.0
4,3,5,0.0,0.0,0.0,0.0
4,3,6,0.0,0.0,0.0,0.0
4,3,7,0.0,0.0,0.0,0.0
4,3,8,0.0,0.0,0.0,0.0
4,3,9,0.0,0.0,-0.0,0.0
4,3,10,0.0,0.0,-0.0,0.0
4,3,11,0.0,0.0,0.0,0.0
4,3,12,0.0,-0.0076242633517658335,-0.0,0.0
4,5,6,0.0,0.0,-0.0,0.0
4,5,7,0.0,0.0,0.0,0.0
4,5,8,0.0,0.0,-0.0,0.0
4,5,9,0.0,0.0,-0.0,0.0
4,5,10,0.0,0.0,-0.0,0.0
4,5,11,0.0,0.0,-0.0,0.0
4,5,12,0.0,0.0,-0.0,0.0
4,6,7,0.0,0.0,-0.0,0.0
4,6,8,0.0,0.0,0.0,0.0
4,6,9,0.0,0.0,-0.0,0.0
4,6,10,0.0,0.0,-0.0,0.0
4,6,11,0.0,0.0,-0.0,0.0
4,6,12,0.0,0.0,0.0,0.0
4,7,8,0.0,0.0,0.0,0.0
4,7,9,0.0,0.0,0.0,0.0
4,7,10,0.0,0.0,0.05325640289736218,0.0
4,7,11,0.0,0.0,-0.0,0.0
4,7,12,0.0,0.0,-0.0,0.0
4,8,9,0.0,0.0,0.0,0.0
4,8,10,0.0,0.0,-0.0,0.0
4,8,11,0.0,0.0,-0.0,0.0
4,8,12,0.0,0.0,0.03924028008122074,0.0
4,9,10,0.0,0.0,-0.0,0.0
4,9,11,0.0,0.0,-0.0,0.0
4,9,12,0.0,0.0,-0.0,0.0
4,10,11,0.0,0.0,-0.0,0.0
4,10,12,0.0,0.0,0.0,0.0
4,11,12,0.0,0.0,0.0,0.0
5,1,2,0.0,0.0,-0.0,0.0
5,1,3,0.0,0.0,-0.0,0.0
5,1,4,0.0,0.0,0.0,0.0
5,1,6,0.0,0.0,-0.0,0.0
5,1,7,0.0,0.0,-0.0,0.0
5,1,8,0.0,0.0,-0.0,0.0
5,1,9,0.0,0.0,0.0,0.0
5,1,10,0.0,0.0022418218406699783,0.059492487418305276,0.0
5,1,11,0.0,0.0,-0.04913545528886104,0.0
5,1,12,0.0,0.0,0.0,0.0
5,2,3,0.0,0.0,0.0,0.0
5,2,4,0.0,0.0,0.0,0.0
5,2,6,0.0,0.0,-0.0,0.0
5,2,7,0.0,0.0,-0.0,0.0
5,2,8,0.0,0.0,0.0,0.0
5,2,9,0.0,0.0,0.0,0.0
5,2,10,0.0,0.0,-0.0,0.0
5,2,11,0.0,0.0,0.05139113268957968,0.0
5,2,12,0.0,0.0,-0.0,0.0
5,3,4,0.0,0.0,0.0,0.0
5,3,6,0.0,0.0,-0.0,0.0
5,3,7,0.0,0.0,-0.0,0.0
5,3,8,0.0,0.0,-0.0,0.0
5,3,9,0.0,0.0,-0.0,0.0
5,3,10,0.0,0.0,0.0,0.0
5,3,11,0.0,0.0,-0.0,0.0
5,3,12,0.0,0.0,0.0,0.0
5,4,6,0.0,0.0,0.0,0.0
5,4,7,0.0,0.0,-0.0,0.0
5,4,8,0.0,0.0,-0.0,0.0
5,4,9,0.0,0.0,-0.0,0.0
5,4,10,0.0,0.0,-0.0,0.0
5,4,11,0.0,0.0,0.0,0.0
5,4,12,0.0,0.0,-0.0,0.0
5,6,7,0.0,0.0,0.0,0.0
5,6,8,0.0,0.0,0.0,0.0
5,6,9,0.0,0.0,-0.0,0.0
5,6,10,0.0,0.0,-0.0,0.0
5,6,11,0.0,0.0,-0.0,0.0
5,6,12,0.0,0.0,-0.0,0.0
5,7,8,0.0,0.0,0.0,0.0
5,7,9,0.0,0.0,-0.0,0.0
5,7,10,0.0,0.013406144671135586,0.04155401555235699,0.0
5,7,11,0.0,0.0,-0.0,0.0
5,7,12,0.0,0.0,-0.0,0.0
5,8,9,0.0,0.0,-0.0,0.0
5,8,10,0.0,0.0,-0.0,0.0
5,8,11,0.0,0.0,0.0,0.0
5,8,12,0.0,0.0,0.0,0.0
5,9,10,0.0,0.0,0.0,0.0
5,9,11,0.0,0.0,0.0,0.0
5,9,12,0.0,0.0,-0.0,0.0
5,10,11,0.0,0.014700957165915456,0.0,0.0
5,10,12,0.0,0.0,0.0,0.0
5,11,12,0.0,0.0,-0.0,0.0
6,1,2,0.0,0.0,-0.0,0.0
6,1,3,0.0,0.0,0.0,0.0
6,1,4,0.0,0.0,0.0,0.0
6,1,5,0.0,0.0,0.0,0.0
6,1,7,0.0,0.0,-0.0,0.0
6,1,8,0.0,0.0,0.0,0.0
6,1,9,0.0,0.0,-0.0,0.0
6,1,10,0.0,0.0,-0.0,0.0
6,1,11,0.0,0.0,0.03838625078104812,0.0
6,1,12,0.0,0.0,-0.0,0.0
6,2,3,0.0,0.0,0.0,0.0
6,2,4,0.0,0.0,-0.0,0.0
6,2,5,0.0,0.0,0.0,0.0
6,2,7,0.0,0.0,0.0,0.0
6,2,8,0.0,0.0,0.0,0.0
6,2,9,0.0,0.0,-0.0,0.0
6,2,10,0.0,0.0,-0.0,0.0
6,2,11,0.0,0.0,-0.0,0.0
6,2,12,0.0,0.0,0.0,0.0
6,3,4,0.0,0.0,-0.0,0.0
6,3,5,0.0,0.0,-0.0,0.0
6,3,7,0.0,0.0,-0.0,0.0
6,3,8,0.0,0.0,0.0,0.0
6,3,9,0.0,0.0,-0.0,0.0
6,3,10,0.0,0.0,-0.0,0.0
6,3,11,0.0,0.0,0.0,0.0
6,3,12,0.0,0.0,-0.0,0.0
6,4,5,0.0,0.0,-0.0,0.0
6,4,7,0.0,0.0,-0.0,0.0
6,4,8,0.0,0.0,0.0,0.0
6,4,9,0.0,0.0,0.0,0.0
6,4,10,0.0,0.0,-0.0,0.0
6,4,11,0.0,0.0,-0.0,0.0
6,4,12,0.0,0.0,-0.0,0.0
6,5,7,0.0,0.0,0.0,0.0
6,5,8,0.0,0.0,0.0,0.0
6,5,9,0.0,0.0,-0.0,0.0
6,5,10,0.0,0.0,0.0,0.0
6,5,11,0.0,0.0,-0.0,0.0
6,5,12,0.0,0.0,0.0,0.0
6,7,8,0.0,0.0,-0.0,0.0
6,7,9,0.0,0.0,-0.0,0.0
6,7,10,0.0,0.0,-0.0,0.0
6,7,11,0.0,0.0,0.0,0.0
6,7,12,0.0,0.0,-0.0,0.0
6,8,9,0.0,0.0,0.0,0.0
6,8,10,0.0,0.0,0.0,0.0
6,8,11,0.0,0.0,-0.0,0.0
6,8,12,0.0,0.0,0.0,0.0
6,9,10,0.0,0.0,0.0,0.0
6,9,11,0.0,0.0,0.0,0.0
6,9,12,0.0,0.0,-0.0,0.0
6,10,11,0.0,0.03744525137928209,-0.0,0.0
6,10,12,0.0,0.0,-0.0,0.0
6,11,12,0.0,0.0,0.0,0.0
7,1,2,0.0,0.0,0.0,0.0
7,1,3,0.0,0.0,0.0,0.0
7,1,4,0.0,0.0,0.0,0.0
7,1,5,0.0,0.0,0.0,0.0
7,1,6,0.0,0.0,-0.0,0.0
7,1,8,0.0,0.0,-0.0,0.0
7,1,9,0.0,0.0,0.0,0.0
7,1,10,0.0,0.0,0.0,0.0
7,1,11,0.0,0.0,-0.04806891555251562,0.0
7,1,12,0.0,0.0,-0.0,0.0
7,2,3,0.0,0.0,0.0,0.0
7,2,4,0.0,0.0,0.0,0.0
7,2,5,0.0,0.0,-0.0,0.0
7,2,6,0.0,0.0,-0.0,0.0
7,2,8,0.0,0.0,-0.0,0.0
7,2,9,0.0,0.0,0.0,0.0
7,2,10,0.0,0.0,-0.0,0.0
7,2,11,0.0,0.0,0.0,0.0
7,2,12,0.0,0.0,0.0,0.0
7,3,4,0.0,0.0,-0.0,0.0
7,3,5,0.0,0.0,-0.0,0.0
7,3,6,0.0,0.0,0.0,0.0
7,3,8,0.0,0.0,-0.0,0.0
7,3,9,0.0,0.0,-0.0,0.0
7,3,10,0.0,0.0,0.039401782938317934,0.0
7,3,11,0.0,0.0,-0.0,0.0
7,3,12,0.0,0.0,-0.0,0.0
7,4,5,0.0,0.0,-0.0,0.0
7,4,6,0.0,0.0,-0.0,0.0
7,4,8,0.0,0.0,-0.0,0.0
7,4,9,0.0,0.0,0.0,0.0
7,4,10,0.0,0.0,0.0,0.0
7,4,11,0.0,0.0,0.0,0.0
7,4,12,0.0,0.0,0.0,0.0
7,5,6,0.0,0.0,0.0,0.0
7,5,8,0.0,0.0,-0.0,0.0
7,5,9,0.0,0.0,0.0,0.0
7,5,10,0.0,0.0,-0.0,0.0
7,5,11,0.0,0.0,0.0,0.0
7,5,12,0.0,0.0,-0.0,0.0
7,6,8,0.0,0.0,-0.0,0.0
7,6,9,0.0,0.0,-0.0,0.0
7,6,10,0.0,0.0,-0.0,0.0
7,6,11,0.0,0.0,0.0,0.0
7,6,12,0.0,0.0,0.0,0.0
7,8,9,0.0,0.0,-0.0,0.0
7,8,10,0.0,0.0,0.0,0.0
7,8,11,0.0,0.0,0.0,0.0
7,8,12,0.0,0.0,-0.0,0.0
7,9,10,0.0,0.0,0.0,0.0
7,9,11,0.0,0.0,-0.0,0.0
7,9,12,0.0,0.0,-0.0,0.0
7,10,11,0.0,0.0,0.0,0.0
7,10,12,0.0,0.0,-0.0,0.0
7,11,12,0.0,0.0,0.0,0.0
8,1,2,0.0,0.0,-0.0,0.0
8,1,3,0.0,0.0,0.0,0.0
8,1,4,0.0,0.0,0.0,0.0
8,1,5,0.0,0.01478618901330765,0.0,0.0
8,1,6,0.0,0.0,0.0,0.0
8,1,7,0.0,0.0,0.0,0.0
8,1,9,0.0,0.0,-0.0,0.0
8,1,10,0.0,0.0,0.0,0.0
8,1,11,0.0,0.0,-0.0,0.0
8,1,12,0.0,0.0,-0.0,0.0
8,2,3,0.0,0.0,0.0,0.0
8,2,4,0.0,0.0,-0.0,0.0
8,2,5,0.0,0.0,0.0,0.0
8,2,6,0.0,0.0,-0.0,0.0
8,2,7,0.0,0.0,0.0,0.0
8,2,9,0.0,0.0,0.0,0.0
8,2,10,0.0,0.0,-0.0,0.0
8,2,11,0.0,0.0,0.0,0.0
8,2,12,0.0,0.0,0.0,0.0
8,3,4,0.0,0.0,0.0,0.0
8,3,5,0.0,0.0,-0.0,0.0
8,3,6,0.0,0.0,0.0,0.0
8,3,7,0.0,0.0,-0.0,0.0
8,3,9,0.0,0.0,0.0,0.0
8,3,10,0.0,0.0,0.0,0.0
8,3,11,0.0,0.0,0.0,0.0
8,3,12,0.0,0.0,-0.0,0.0
8,4,5,0.0,0.0,0.0,0.0
8,4,6,0.0,0.0,-0.0,0.0
8,4,7,0.0,0.0,-0.0,0.0
8,4,9,0.0,0.0,-0.0,0.0
8,4,10,0.0,0.0,0.0,0.0
8,4,11,0.0,0.0,-0.0,0.0
8,4,12,0.0,0.0,0.0,0.0
8,5,6,0.0,0.0,0.0,0.0
8,5,7,0.0,0.0,0.0,0.0
8,5,9,0.0,0.0,-0.0,0.0
8,5,10,0.0,0.0,-0.0,0.0
8,5,11,0.0,0.0,0.0,0.0
8,5,12,0.0,0.0,0.0,0.0
8,6,7,0.0,0.0,-0.0,0.0
8,6,9,0.0,0.0,0.0,0.0
8,6,10,0.0,0.0,0.0,0.0
8,6,11,0.0,0.0,0.0,0.0
8,6,12,0.0,0.0,-0.0,0.0
8,7,9,0.0,0.0,0.0,0.0
8,7,10,0.0,0.0,-0.0,0.0
8,7,11,0.0,0.0,0.0,0.0
8,7,12,0.0,0.0,0.0,0.0
8,9,10,0.0,0.0,-0.0,0.0
8,9,11,0.0,0.0,0.0,0.0
8,9,12,0.0,0.0,0.0,0.0
8,10,11,0.0,0.0034056360405109653,0.0,0.0
8,10,12,0.0,-0.005369808316652885,-0.0,0.0
8,11,12,0.0,0.0,-0.0,0.0
9,1,2,0.0,0.0,-0.0,0.0
9,1,3,0.0,0.0,-0.0,0.0
9,1,4,0.0,0.0,-0.0,0.0
9,1,5,0.0,0.0,-0.0,0.0
9,1,6,0.0,0.0,-0.0,0.0
9,1,7,0.0,0.0,0.04685706592187312,0.0
9,1,8,0.0,0.0,0.0,0.0
9,1,10,0.0,0.0,-0.08771064364877679,0.0
9,1,11,0.0,0.0,0.0,0.0
9,1,12,0.0,0.0,-0.0,0.0
9,2,3,0.0,0.0,0.0,0.0
9,2,4,0.0,0.0,-0.0,0.0
9,2,5,0.0,0.0,0.0,0.0
9,2,6,0.0,0.0,0.0,0.0
9,2,7,0.0,0.0,-0.0,0.0
9,2,8,0.0,0.0,-0.0,0.0
9,2,10,0.0,0.0,-0.0,0.0
9,2,11,0.0,0.0,0.0,0.0
9,2,12,0.0,0.0,-0.0,0.0
9,3,4,0.0,0.0,-0.0,0.0
9,3,5,0.0,0.0,0.0,0.0
9,3,6,0.0,0.0,0.0,0.0
9,3,7,0.0,0.0,-0.0,0.0
9,3,8,0.0,0.0,-0.0,0.0
9,3,10,0.0,0.0,-0.0,0.0
9,3,11,0.0,0.0,0.0,0.0
9,3,12,0.0,0.0,0.0,0.0
9,4,5,0.0,0.0,0.0,0.0
9,4,6,0.0,0.0,0.0,0.0
9,4,7,0.0,0.0,0.0,0.0
9,4,8,0.0,0.0,0.0,0.0
9,4,10,0.0,0.0,-0.0,0.0
9,4,11,0.0,0.0,-0.0,0.0
9,4,12,0.0,0.0,-0.0,0.0
9,5,6,0.0,0.0,0.0,0.0
9,5,7,0.0,0.0,-0.0,0.0
9,5,8,0.0,0.0,-0.0,0.0
9,5,10,0.0,0.0,0.0,0.0
9,5,11,0.0,0.0,-0.0,0.0
9,5,12,0.0,0.0,0.0,0.0
9,6,7,0.0,0.0,0.0,0.0
9,6,8,0.0,0.0,-0.0,0.0
9,6,10,0.0,0.0,0.0,0.0
9,6,11,0.0,0.0,0.0,0.0
9,6,12,0.0,0.0,-0.0,0.0
9,7,8,0.0,0.0,-0.03641988374376241,0.0
9,7,10,0.0,0.0,0.0,0.0
9,7,11,0.0,0.0,-0.0,0.0
9,7,12,0.0,0.0,-0.0,0.0
9,8,10,0.0,0.0,0.06912634852129099,0.0
9,8,11,0.0,0.0,-0.0,0.0
9,8,12,0.0,0.0,-0.0,0.0
9,10,11,0.0,0.0,0.0,0.0
9,10,12,0.0,0.0,0.0,0.0
9,11,12,0.0,0.0,0.0,0.0
10,1,2,0.0,0.0,0.0,0.0
10,1,3,0.0,0.0,-0.0,0.0
10,1,4,0.0,0.0,0.0,0.0
10,1,5,0.0,0.0,-0.0,0.0
10,1,6,0.0,0.0,-0.0,0.0
10,1,7,0.0,0.0,-0.0,0.0
10,1,8,0.0,0.0,-0.0,0.0
10,1,9,0.0,0.0,0.0,0.0
10,1,11,0.0,0.0,-0.0,0.0
10,1,12,0.0,0.0,0.0,0.0
10,2,3,0.0,0.0,-0.0,0.0
10,2,4,0.0,0.0,0.0,0.0
10,2,5,0.0,0.0,0.0,0.0
10,2,6,0.0,0.0,0.0,0.0
10,2,7,0.0,0.0,0.0,0.0
10,2,8,0.0,0.0,0.0,0.0
10,2,9,0.0,0.0,-0.0,0.0
10,2,11,0.0,0.0,-0.0,0.0
10,2,12,0.0,0.0,-0.0,0.0
10,3,4,0.0,0.0,0.0,0.0
10,3,5,0.0,0.0,0.0,0.0
10,3,6,0.0,0.0,-0.0,0.0
10,3,7,0.0,0.0,-0.0,0.0
10,3,8,0.0,0.0,0.0,0.0
10,3,9,0.0,0.0,-0.0,0.0
10,3,11,0.0,0.0,-0.0,0.0
10,3,12,0.0,0.0,-0.0,0.0
10,4,5,0.0,0.0,0.0,0.0
10,4,6,0.0,0.0,0.0,0.0
10,4,7,0.0,0.0,0.0,0.0
10,4,8,0.0,0.0,-0.0,0.0
10,4,9,0.0,0.0,0.0,0.0
10,4,11,0.0,0.0,-0.0,0.0
10,4,12,0.0,0.0,0.0,0.0
10,5,6,0.0,0.0,0.0,0.0
10,5,7,0.0,0.0,0.0,0.0
10,5,8,0.0,0.0,0.0,0.0
10,5,9,0.0,0.0,0.0,0.0
10,5,11,0.0,0.0,-0.0,0.0
10,5,12,0.0,0.0,-0.0,0.0
10,6,7,0.0,0.0,-0.0,0.0
10,6,8,0.0,0.0,-0.0,0.0
10,6,9,0.0,0.0,-0.0,0.0
10,6,11,0.0,0.0,0.0,0.0
10,6,12,0.0,0.0,0.0,0.0
10,7,8,0.0,0.0,0.0,0.0
10,7,9,0.0,0.0,0.0,0.0
10,7,11,0.0,0.0,-0.05334110385759477,0.0
10,7,12,0.0,0.0,-0.0,0.0
10,8,9,0.0,0.0,-0.0,0.0
10,8,11,0.0,0.0,0.0,0.0
10,8,12,0.0,0.0,0.0,0.0
10,9,11,0.0,0.0,-0.0,0.0
10,9,12,0.0,0.0,0.0,0.0
10,11,12,0.0,0.0,0.0,0.0
11,1,2,0.0,0.0,0.0,0.0
11,1,3,0.0,0.0,-0.0,0.0
11,1,4,0.0,0.0,0.0,0.0
11,1,5,0.0,0.0,0.0,0.0
11,1,6,0.0,0.0,-0.0,0.0
11,1,7,0.0,0.0,0.0,0.0
11,1,8,0.0,0.0,0.0,0.0
11,1,9,0.0,0.0,-0.0,0.0
11,1,10,0.0,0.0,-0.0,0.0
11,1,12,0.0,0.0,0.0,0.0
11,2,3,0.0,0.0,-0.0,0.0
11,2,4,0.0,0.0,0.0,0.0
11,2,5,0.0,0.0,-0.0,0.0
11,2,6,0.0,0.0,-0.0,0.0
11,2,7,0.0,0.0,0.0,0.0
11,2,8,0.0,0.0,-0.0,0.0
11,2,9,0.0,0.0,-0.0,0.0
11,2,10,0.0,0.0,-0.0,0.0
11,2,12,0.0,0.0,0.0,0.0
11,3,4,0.0,0.0,-0.0,0.0
11,3,5,0.0,0.0,0.0,0.0
11,3,6,0.0,0.0,0.0,0.0
11,3,7,0.0,0.0,0.0,0.0
11,3,8,0.0,0.0,0.0,0.0
11,3,9,0.0,0.0,0.03762526674352447,0.0
11,3,10,0.0,0.0,-0.0,0.0
11,3,12,0.0,0.0,0.0,0.0
11,4,5,0.0,0.0,0.0,0.0
11,4,6,0.0,0.0,-0.0,0.0
11,4,7,0.0,0.0,-0.0,0.0
11,4,8,0.0,0.0,-0.0,0.0
11,4,9,0.0,0.0,-0.0,0.0
11,4,10,0.0,0.0,0.0,0.0
11,4,12,0.0,0.0,-0.0,0.0
11,5,6,0.0,0.0,-0.0,0.0
11,5,7,0.0,0.0,-0.0,0.0
11,5,8,0.0,0.0,0.0,0.0
11,5,9,0.0,0.0,-0.0,0.0
11,5,10,0.0,0.0,0.0,0.0
11,5,12,0.0,0.0,-0.0,0.0
11,6,7,0.0,0.0,-0.0,0.0
11,6,8,0.0,0.0,0.0,0.0
11,6,9,0.0,0.0,0.0,0.0
11,6,10,0.0,0.0,0.0,0.0
11,6,12,0.0,0.0,0.0,0.0
11,7,8,0.0,0.0,-0.0,0.0
11,7,9,0.0,0.0,-0.0,0.0
11,7,10,0.0,0.0,-0.0,0.0
11,7,12,0.0,0.0,-0.0,0.0
11,8,9,0.0,0.0,0.0,0.0
11,8,10,0.0,0.0,0.0,0.0
11,8,12,0.0,0.0,0.0,0.0
11,9,10,0.0,0.0,0.0,0.0
11,9,12,0.0,0.0,-0.0,0.0
11,10,12,0.0,0.0,0.0,0.0
12,1,2,0.0,0.0,0.0,0.0
12,1,3,0.0,0.0,-0.0,0.0
12,1,4,0.0,0.009405573737431219,0.04747113583501947,0.0
12,1,5,0.0,0.0,-0.0,0.0
12,1,6,0.0,0.0,0.0,0.0
